   0.0000000000000000                1          25
         250         250         200
          87         148           9
          87         149           9
          88         149           9
          88         149           8
          87         149           8
          87         149           9
          86         149           9
          87         149           9
          86         149           9
          87         149           9
          87         149           8
          88         149           8
          87         149           8
          86         149           8
          87         149           8
          88         149           8
          88         148           8
          89         148           8
          89         148           7
          89         147           7
          89         147           8
          89         148           8
          90         148           8
          90         147           8
          90         148           8
 nasold          81 nastes          81
 nosnap       30000 interval       25000 noequil          10
 empty_sum        32792
 EMPTY and lch*nch do not match
 IFINE=1 mean good. CHeck your IFINE=           0
