  0.34999999999999998                1          25
         250         250         200
          81         219         143
          81         220         143
          81         220         144
          81         220         143
          82         220         143
          82         221         143
          82         220         143
          82         220         142
          82         220         141
          81         220         141
          81         220         142
          81         219         142
          80         219         142
          80         220         142
          80         220         143
          81         220         143
          81         220         142
          81         220         143
          81         220         142
          80         220         142
          80         220         141
          80         221         141
          79         221         141
          78         221         141
          78         221         140
 nasold          72 nastes          72
 nosnap       30000 interval       25000 noequil          10
 empty_sum           25
 IFINE=1 mean good. CHeck your IFINE=           1
