 -0.20000000000000001                1          25
         250         250         200
          74         167         136
          74         167         135
          73         167         135
          73         167         134
          73         168         134
          74         168         134
          74         169         134
          74         169         133
          75         169         133
          76         169         133
          76         169         134
          77         169         134
          76         169         134
          76         169         135
          75         169         135
          75         170         135
          75         170         134
          75         171         134
          75         171         133
          75         172         133
          75         173         133
          75         173         132
          75         172         132
          75         173         132
          75         172         132
 nasold          99 nastes          99
 nosnap       30000 interval       25000 noequil          10
 empty_sum           25
 IFINE=1 mean good. CHeck your IFINE=           1
