  0.80000000000000004                1          25
         250         250         200
         237          11         166
         238          11         166
         238          10         166
         237          10         166
         237          11         166
         237          11         165
         237          11         166
         236          11         166
         237          11         166
         238          11         166
         238          11         165
         238          11         166
         238          11         167
         238          10         167
         237          10         167
         237          11         167
         237          11         166
         237          10         166
         236          10         166
         237          10         166
         237          11         166
         237          10         166
         237          10         165
         236          10         165
         236          11         165
 nasold          52 nastes          52
 nosnap       30000 interval       25000 noequil          10
 empty_sum           25
 IFINE=1 mean good. CHeck your IFINE=           1
