 -0.10000000000000001                1          25
         250         250         200
          14         207          98
          15         207          98
          14         207          98
          14         207          99
          14         207          98
          15         207          98
          15         208          98
          15         208          99
          15         208          98
          15         208          97
          15         208          96
          14         208          96
          13         208          96
          12         208          96
          12         209          96
          12         208          96
          11         208          96
          12         208          96
          11         208          96
          10         208          96
          10         208          97
          10         208          98
          10         208          99
          11         208          99
          11         207          99
 nasold          99 nastes          99
 nosnap       30000 interval       25000 noequil          10
 empty_sum           25
 IFINE=1 mean good. CHeck your IFINE=           1
