  -5.0000000000000003E-002           1          25
         250         250         200
         244          60         160
         244          61         160
         244          61         161
         245          61         161
         245          61         162
         245          61         161
         245          62         161
         245          61         161
         245          61         162
         244          61         162
         244          61         163
         244          62         163
         244          62         164
         244          63         164
         244          64         164
         244          64         165
         244          64         166
         245          64         166
         244          64         166
         244          65         166
         244          65         165
         243          65         165
         243          66         165
         242          66         165
         241          66         165
 nasold          95 nastes          95
 nosnap       30000 interval       25000 noequil          10
 empty_sum           25
 IFINE=1 mean good. CHeck your IFINE=           1
